id,company_id,company_data,company_url,job_content,end_date,sal,job_data
K120422307280015,(주)솔루텍시스템,"이인명,26 명,500 백만원,11300 백만원,소프트웨어 개발 및 공급업",www.solutek.co.kr,"IT컨설턴트,컴퓨터시스템 설계및분석가",채용시까지,"연봉25,000,000원 이상, 면접 후 재조정 가능",",정보처리기사,정보처리산업기사,,"
K151322307280003,(주)하이앤텍,"임세용,15 명,250 백만원,7000 백만원,유선 통신장비 제조업",www.hi-nt.com,"- IP Camera 설치 현장 문의 기술 대응
- 영상관제 소프트웨어 카메라 연동 셋팅
- 고객불만처리 대응
- IP Camera 생산 및 품질 TEST
- 자재 관리 및 출고 대응",채용시까지,"연봉30,000,000원 이상, 면접 후 재조정 가능",",정보통신기사,정보통신산업기사(기타: 정보통신관련 기술자나 자격증 보유자),,"
K151632307270033,수퍼빈주식회사,"김정빈,146 명,0 백만원,0 백만원,그 외 기타 분류 안된 사업지원 서비스업",www.superbin.co.kr,"*직무 내용
-기구 설계
-외주 제작처 생산공정 관리

*우대 사항
-기어,벨트 이송 장치 등 구동부 설계 유경험자 
-판금 설계 유경험자
-Solidworks 능숙자",채용시까지,"연봉35,000,000원 이상 ~ 80,000,000원 이하, 면접 후 재조정 가능",",,,"
K120612307260032,웨일시큐리티,"이성민,8 명,150 백만원,800 백만원,시스템 소프트웨어 개발 및 공급업",www.whalesec.co.kr,"ㆍ모의해킹 (웹, 모바일앱 취약점 진단)
ㆍ인프라 취약점 진단


[정보보호진단·분석 &gt; 모의해킹]
모의해킹 준비하기,모의해킹 수행하기

[정보보호진단·분석 &gt; 보안전략수립 컨설팅]
보안 전략 현황 분석하기,보안 위험 평가하기,보안 전략 수립하기

[정보보호진단·분석 &gt; 보안감리]
보안감리 계획하기,보안감리 수행하기,보안감리 사후관리하기

[정보보호진단·분석 &gt; 정보보호관리체계 인증]
정보보호관리체계 인증심사 체계 수립하기,정보보호관리체계 인증심사 기준 수립하기,정보보호관리체계 인증심사 수행하기

[보안사고분석대응 &gt; 보안로그 분석]
보안시스템 로그 분석하기,보안로그 상관분석하기,탐지패턴 개발하기",채용시까지,"연봉30,000,000원 이상 ~ 32,000,000원 이하,","전산학·컴퓨터공학(학과 : 컴퓨터·정보시스템공학부) 정보·통신공학(학과 : 정보보호공학전공),정보처리기사,정보보안기사(기타: CISSP, CISA 등 정보보안 관련 해외 자격증 소지 우대),,"
K151632307260006,(주)대양씨아이에스,"최동성,50 명,350 백만원,4000 백만원,컴퓨터시스템 통합 자문 및 구축 서비스업",www.dycis.com,"(주)대양씨아이에스는 1998년에 설립된 회사로 자본금 3억5천만원, 매출액 70억, 사원수 43명 규모의 고용노동부에서 선정한 강소기업입니다.

경기도 성남시 중원구 상대원2동에 위치하고 있으며, 회원관리 S/W, 커뮤니티 센터 운영 S/W, 무인 운영시스템 S/W, 지자체 시설 운영 S/W 개발 및 골프존 유지보수, 호텔신라 운영시스템  유지보수, 대림건설 운영시스템 유지보수 등 사업을 하고 있습니다.


* 모집분야 및 자격요건

* 모집인원 : 0명 ( 신입, 경력 )

* 담당업무 : 아파트, 매표소, 스포츠시설, 회원관리 시스템 등  관리 및 운영지원
                 내근직으로 통합 운영시스템을 배우시면서 관리와 운영지원을 하시면 됩니다.
                 성실함과 열정만 있다면 누구나 OK.!!

* 자격요건 : 고졸 또는 이상의 학력
                    경력 무관 (경력자는 우대, 신입도 우대!!)
                   
* 우대사항 : 컴퓨터 활용 우수자 
                    유관업 종사자 우대
                    인근거주자

* 근무환경 : 수습기간 3개월
                    근무시간 9:30~18:30
                    주 5일 (평일)
                    주 4일 (토, 일 포함) 수습 완료 후, 여건에 따라 주 4일제로 전환 가능.

* 근무형태 : 정규직

* 근무지 : 경기도 성남시 중원구 상대원동 우림라이온스밸리 3차

* 기타 : 4대 보험, 연차, 경조사 지원, 퇴직금, 인센티브 등


* 대양CIS만의 특별한 복지

  - 헬스장 무한 이용 
    회사에 각종 전문장비를 갖춘  헬스장이 있어, 점심시간 퇴근시간 이후 자유롭게 이용할 수 있습니다.

  - 퇴근하고 10초만에 만나는 스크린 골프 
    요즘 골프 인기가 대단하죠~회사에 스크린골프 2개 (골프존, 카카오골프), 골프 타석 2개가 준비되어 있습니다.
    점심시간, 퇴근시간 이후, 주말 자유롭게 이용할 수 있습니다.

  - 냉장고에 음료수가 잔뜩 있어도 점심 때 어프로치 음료수 내기는 못 참죠~
    요즘 좋은 회사에 있다는 음료 냉장고, 아이스크림 냉장고, 라면 등 부식 창고
    대신 살찌는 건 조심하세요.


* 연봉 : 희망연봉 기재 요함 (회사내규에 따른 면접시 협의)

* 유의사항 : 허위사실이 발견될 경우 채용이 취소될 수 있습니다.",채용시까지,"연봉30,000,000원 이상 ~ 38,000,000원 이하, 면접 후 재조정 가능",",,,"
K140062307250035,(주)티씨엘,"최익한,80 명,217 백만원,15650 백만원,그 외 기타 분류 안된 금속 가공 제품 제조업",http://www.tclaser.co.kr,"물류자동화,공장자동화, 컨베어 설계
기구설계, 자동화설계, 산업기계설계 등

[자동차공정설계 &gt; 자동차 생산공장 설계]
생산능력 계획하기,공장건설 관련법규 검토하기,공장 레이아웃 검토하기,생산요소 검토하기

[자동차공정설계 &gt; 자동차 물류설계]
조달물류 계획하기,생산물류 계획하기,완성품 물류 계획하기",20230831,"연봉30,000,000원 이상 ~ 50,000,000원 이하, 면접 후 재조정 가능","기계공학(학과 : 기계.정밀기계.기계설계.자동차공학과군) 기계공학(학과 : 기계설계전공),,운전면허증, 차량소지자,"
K140112307250004,주식회사 에스엘밸리,"위희종,7 명,50 백만원,1200 백만원,컴퓨터 및 주변장치, 소프트웨어 도매업",http://www.slvalley.co.kr,"기술지원


[IT기술지원 &gt; 시스템 장애 대응]
장애 대응 방안 수립하기,고객시스템 장애 처리하기,장애 처리 결과 보고하기

[IT기술지원 &gt; 시스템 개선 대응]
개선 방안 수립하기,개선 방안 처리하기,개선 결과 보고하기

[IT기술지원 &gt; 시스템 유지보수관리]
시스템 유지보수 수행하기,기술 문의 대응하기

* 필수조건
 1. 운전면허증 
 2. 차량소지자
 
 * 우대조건
  1. 고용촉진장려금 대상자
  2. 일자리도약장려금 대상자",채용시까지,"연봉28,000,000원 이상, 면접 후 재조정 가능","정보·통신공학(학과 : 정보시스템학과군) 정보·통신공학(학과 : 네트워크전공),정보처리기사,자동차운전면허(기타: 차량보유 필수),고용촉진장려금대상자, 운전면허증, 차량소지자,"
K131132307250004,경동오토맥스,"박덕영,18 명,600 백만원,1500 백만원,기타 기계 및 장비 제조업",,"자동화기구 설계업무
캐드, 인벤터 사용 가능자 우대",채용시까지,"연봉40,000,000원 이상, 면접 후 재조정 가능",",,,"
K130112307240074,(주)에스유지,"김창관,51 명,200 백만원,2894 백만원,정보서비스업",sugcosmos.co.kr.isaudit.co.kr,"공문서 작성 관리, 4대보험, 보고서 관리

[IT감리 &gt; 감리계획수립]
예비조사하기,감리범위 설정하기,일정계획 수립하기,인력편성 계획하기,점검항목 정의하기,관련법령 식별하기,감리계획서 작성하기

[IT감리 &gt; 감리 보고서 통보]
이견사항 검토하기,이견사항 처리결과 공유하기,최종보고서 통보하기

[IT감리 &gt; 시정조치 확인]
시정조치 확인 준비하기,시정조치 확인하기,시정조치확인 보고서 작성하기,시정조치 확인보고서 제출하기

[IT감리 &gt; 감리종료]
감리용역 완료검사 의뢰하기,감리용역 사업 종료하기",20230804,"월급2,500,000원 이상 ~ 3,000,000원 이하, 면접 후 재조정 가능","전산학·컴퓨터공학(학과 : 컴퓨터공학과) 정보·통신공학(학과 : 전기전자정보통신공학),정보처리기사(기타: 정보시스템감리원, 정보통신기사),,"
K120612307240038,주식회사 로고스데이터,"최성,18 명,200 백만원,1200 백만원,기타 정보기술 및 컴퓨터운영 관련 서비스업",www.logosdata.kr,"[연봉 - 경력 : 면접 후 결정]

담당업무
•	Google Looker 프로그램을 활용한 데이터 분석, 대시보드 및 보고서 개발
•	데이터 분석과 시각화를 통한 인사이트 도출
•	SQL을 활용한 데이터 원본 설계 및 개발

자격요건
•	원활한 커뮤니케이션 능력 가지신 분
•	새로운 기술을 습득에 두려움이 없으신 분
•	Google Looker 숙련자, 프로젝트 경험 (경력 n년 이상)
•	SQL 작성 경험자

우대사항
•	데이터 시각화 도구 및 분석 플랫폼 경험 (예: Tableau, Power BI)
•	Google BigQuery 활용 경험
•	타 클라우드 시스템 활용 경험 (예: AWS, AZURE)
•	Oracle PL/SQL 활용 경험
•	데이터 분석 도구 활용 경험 (예: Python, R)
•	정보처리가사 자격증 소유자
•	Google Professional Certification 자격증 중 1개 이상 소유자


전형절차
1) 서류전형 
2) 1차 면접 (본부장 면접 진행)
3) 총 7영업일간 인, 적성테스트 진행, 채용검진
   ; 테스트 통과여부에 관련없이 소정의 트레이닝 수당 총 56만원 지급함 (1일 8시간, 시간당 1만원 기준)
4) 대표이사 면접 진행
5) 3개월 계약직 진행 후 정규직 전환 (200만원 상당 업무용 개인PC 지원 및 명함, 명함카드지갑, 법인 카드 지급)
   ; 신입은 계약직 기간 동안 급여 80%지급 / 경력은 계약직 기간 동안 급여 100%지급",채용시까지,"연봉34,000,000원 이상 ~ 60,000,000원 이하, 면접 후 재조정 가능","전산학·컴퓨터공학(학과 : 컴퓨터계열),정보처리기사,SQLD(SQL개발자)(기타: Google Professional Certification 자격증 중 1개 이상  소지자 우대),,"
